id,name,theme,team,overall,tier,position,secondary_position,height,play1,play2,play3,play4,bronze_badges,silver_badges,gold_badges,hof_badges,shot_close,shot_mid,shot_3pt,shot_iq,free_throw,offensive_consistency,driving_layup,standing_dunk,driving_dunk,draw_foul,post_moves,post_hook,post_fade,hands,speed,acceleration,vertical,strength,stamina,hustle,overall_durability,speed_with_ball,ball_handle,passing_accuracy,passing_vision,passing_iq,interior_defense,perimeter_defense,help_defense_iq,pick_and_roll_defense_iq,lateral_quickness,pass_perception,reaction_time,steal,block,shot_contest,defensive_consistency,offensive_rebound,defensive_rebound,intangibles,potential,standing_dunk_t,driving_dunk_t,flashy_dunk_t,alley_oop_t,putback_dunk_t,crash_t,driving_layup_t,spin_layup_t,hop_step_layup_t,euro_step_layup_t,floater_t,step_through_shot_t,shot_under_basket_t,shot_close_t,shot_close_left_t,shot_close_middle_t,shot_close_right_t,shot_mid_t,spot_up_shot_mid_t,off_screen_shot_mid_t,shot_3pt_t,spot_up_shot_3pt_t,off_screen_shot_3pt_t,contested_jumper_mid_t,contested_jumper_3pt_t,stepback_jumper_mid_t,stepback_jumper_3pt_t,spin_jumper_t,transition_pull_up_3pt_t,drive_pull_up_3pt_t,drive_pull_up_mid_t,use_glass_t,triple_threat_pump_fake_t,triple_threat_jab_step_t,triple_threat_idle_t,triple_threat_shoot_t,setup_with_sizeup_t,setup_with_hesitation_t,no_setup_dribble_t,drive_t,spot_up_drive_t,off_screen_drive_t,drive_right_t,driving_crossover_t,driving_spin_t,driving_step_back_t,driving_half_spin_t,driving_double_crossover_t,driving_behind_the_back_t,driving_dribble_hesitation_t,driving_in_and_out_t,no_driving_dribble_move_t,attack_strong_on_drive_t,shoot_t,touches_t,roll_vs_pop_t,transition_spot_up_t,iso_vs_elite_defender_t,iso_vs_good_defender_t,iso_vs_average_defender_t,iso_vs_poor_defender_t,play_discipline_t,post_up_t,post_shimmy_shot_t,post_face_up_t,post_back_down_t,post_aggressive_backdown_t,shoot_from_post_t,post_hook_left_t,post_hook_right_t,post_fade_left_t,post_fade_right_t,post_up_and_under_t,post_hop_shot_t,post_step_back_shot_t,post_drive_t,post_spin_t,post_drop_step_t,post_hop_step_t,dish_to_open_man_t,flashy_pass_t,alley_oop_pass_t,pass_interception_t,take_charge_t,on_ball_steal_t,contest_shot_t,block_shot_t,foul_t,hard_foul_t,acrobat,backdown_punisher,consistent_finisher,contact_finisher,cross_key_scorer,deep_hooks,dropstepper,fancy_footwork,fastbreak_finisher,giant_slayer,lob_city_finisher,pick_and_roller,pro_touch,putback_boss,relentless_finisher,showtime,slithery_finisher,tear_dropper,catch_and_shoot,clutch_shooter,corner_specialist,deadeye,deep_fades,difficult_shots,flexible_release,green_machine,hot_start,hot_zone_hunter,ice_in_veins,pick_and_popper,pump_fake_maestro,quick_draw,range_extender,slippery_off_ball,steady_shooter,tireless_shooter,volume_shooter,ankle_breaker,bail_out,break_starter,dimer,downhill,dream_shake,flashy_passer,floor_general,handles_for_days,lob_city_passer,needle_threader,pass_fake_maestro,post_spin_technician,quick_first_step,space_creator,stop_and_go,tight_handles,unpluckable,box,brick_wall,chase_down_artist,clamps,defensive_leader,heart_crusher,interceptor,intimidator,lightning_reflexes,moving_truck,off_ball_pest,pick_dodger,pick_pocket,pogo_stick,post_move_lockdown,rebound_chaser,rim_protector,tireless_defender,trapper,worm,alpha_dog,enforcer,extremely_confident,expressive,high_work_ethic,legendary_work_ethic,pat_my_back,unpredictable
1,Tyson Chandler,'20 NBA,Houston Rockets,72,NBA 2K20  Silver,C,,85,P&R Roll Man,,,,7,2,0,0,56,40,25,90,51,25,56,82,65,40,43,57,44,50,40,25,57,70,67,57,72,25,27,32,25,56,72,43,75,74,51,67,75,30,54,92,62,72,78,95,79,80,80,55,99,80,15,10,0,0,0,5,41,92,5,44,14,42,0,10,0,0,0,0,2,6,0,0,0,0,0,0,15,80,0,50,0,0,0,0,20,30,75,95,0,0,0,0,0,0,0,0,99,75,30,40,99,0,0,0,0,0,99,5,0,0,55,0,80,13,17,0,0,10,0,0,50,0,0,0,10,0,0,47,10,42,92,29,65,91,None,None,None,None,None,None,None,None,None,None,Silver,Bronze,None,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Silver,Bronze,None,None,None,None,None,Bronze,None,Bronze,None,None,None,None,None,None,Bronze,None,None,Bronze,None,None,None,Yes,None,None,None,None
2,Pau Gasol,'20 NBA,Portland Trail Blazers,74,NBA 2K20  Silver,C,,84,Post Up Low,P&R Roll Man,,,5,2,1,0,70,72,76,94,65,65,67,75,53,55,78,77,76,75,38,27,36,70,76,70,82,25,38,60,63,72,65,42,65,68,30,60,85,28,69,85,45,53,85,95,84,60,65,0,50,30,30,20,0,0,0,15,48,40,40,24,25,51,20,60,35,25,65,10,25,5,0,0,0,0,0,0,45,75,35,0,35,0,0,0,35,15,35,0,0,0,0,0,0,0,0,0,99,55,60,70,75,0,0,0,5,15,99,50,5,55,25,15,80,49,42,34,46,70,25,25,55,55,25,20,45,40,65,39,10,21,80,53,50,30,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,Gold,None,None,None,None,None,None,None,None,None,None,Silver,None,None,None,None,None,None,None,None,None,Silver,None,None,None,Bronze,None,None,Bronze,None,None,Bronze,None,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,LeBron James,'20 NBA,Los Angeles Lakers,90,NBA 2K20  Amethyst,SF,PF,80,P&R Ball Handler,Guard Post Up,Handoff,Isolation,13,16,27,0,76,79,69,98,61,90,90,67,77,83,81,70,82,90,81,79,81,81,91,87,99,80,78,82,78,90,73,79,82,89,80,89,96,41,45,95,42,32,71,98,99,55,90,90,50,10,15,80,65,55,25,25,64,54,40,7,32,61,25,60,50,50,75,35,40,20,40,40,40,8,10,15,35,75,75,5,75,25,50,25,99,65,65,25,35,5,10,5,10,5,35,5,10,85,95,99,75,20,65,65,75,85,15,45,15,10,40,20,75,8,13,85,50,30,20,55,25,15,25,15,65,60,65,69,20,31,90,26,30,55,Gold,Silver,Gold,Gold,Gold,None,Bronze,Gold,Bronze,None,Silver,Bronze,Gold,Silver,Silver,Bronze,Gold,None,Bronze,Gold,None,Bronze,Gold,Gold,None,Silver,Silver,Silver,None,Silver,Gold,None,Bronze,None,Bronze,Gold,Silver,None,Gold,Gold,Gold,Gold,Bronze,Gold,Gold,None,Silver,Gold,Gold,Silver,None,Gold,Gold,None,None,None,None,Gold,Bronze,Gold,Silver,Gold,Gold,Silver,Gold,Silver,Bronze,None,Silver,Bronze,None,Bronze,None,Silver,None,Yes,None,Yes,Yes,None,Yes,Yes,None
4,Kyle Korver,'20 NBA,Milwaukee Bucks,74,NBA 2K20  Silver,SG,SF,79,3 PT,Handoff,,,5,2,4,0,77,79,81,97,77,70,65,25,25,32,27,25,55,72,40,49,52,31,81,80,80,27,60,74,32,79,42,65,65,70,60,59,53,31,37,53,45,25,51,95,77,0,0,0,25,0,45,50,0,0,0,25,0,8,5,2,89,9,10,60,60,85,99,75,25,80,0,5,0,40,20,5,5,0,0,50,0,0,0,0,5,15,10,95,5,0,15,0,0,0,0,0,90,5,50,60,0,95,0,0,0,0,99,0,0,0,0,0,10,0,0,9,9,0,0,5,0,0,0,0,40,20,20,37,20,37,40,22,60,15,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Gold,Bronze,Silver,Bronze,None,Bronze,Bronze,None,None,None,None,None,None,None,Gold,Gold,Gold,Silver,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,Andre Iguodala,'20 NBA,Memphis Grizzlies,77,NBA 2K20  Gold,SF,,78,P&R Wing,Handoff,Isolation,Guard Post Up,6,1,4,0,65,47,70,90,51,28,63,48,73,35,43,40,37,78,70,70,68,61,76,78,80,68,79,68,57,73,71,81,76,87,82,67,88,46,60,93,78,34,51,95,80,35,70,65,50,15,25,30,0,0,0,5,0,46,15,5,76,19,10,45,40,25,70,35,40,30,0,0,0,0,0,0,5,0,0,50,0,0,15,0,55,40,55,95,15,0,0,0,0,0,15,0,75,45,35,60,55,0,5,5,15,25,99,15,0,35,15,5,55,8,6,8,22,0,0,10,25,0,0,5,55,45,25,61,10,58,85,30,40,35,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Gold,Bronze,Bronze,None,Bronze,None,None,Gold,Silver,None,None,Bronze,None,None,Gold,Gold,None,None,None,None,Yes,None,None,None,None
6,Trevor Ariza,'20 NBA,Sacramento Kings,75,NBA 2K20  Silver,SF,PF,80,3 PT,Handoff,P&R Wing,,7,0,0,0,41,69,70,90,73,34,64,49,59,34,53,49,54,82,71,73,69,54,84,74,76,66,67,64,53,64,54,76,76,85,77,75,80,47,36,80,74,30,58,95,78,0,55,5,25,5,0,50,0,0,0,10,0,44,10,0,93,7,0,50,45,70,99,55,10,20,0,10,0,8,10,0,20,5,5,50,0,0,0,0,40,20,30,95,15,0,0,0,0,0,15,0,75,45,45,60,0,25,0,0,5,15,99,0,0,0,0,0,10,2,2,11,11,0,0,0,0,0,0,0,55,5,0,86,10,56,80,15,40,25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,Bronze,None,None,None,None,None,None,None,None,None,None,Bronze,Bronze,None,None,None,None,None,None,None,None,None
7,Marvin Williams,'20 NBA,Charlotte Hornets,75,NBA 2K20  Silver,PF,,81,P&R Roll Man,3 PT,Handoff,,2,1,0,0,82,74,77,90,74,57,67,47,63,47,62,67,70,71,70,61,59,65,80,74,75,47,66,52,28,67,59,46,64,62,54,62,64,43,62,64,57,40,65,95,77,60,70,5,25,20,25,30,0,0,0,15,0,28,20,8,69,23,5,55,40,55,85,35,40,30,0,0,0,0,0,0,30,25,5,50,0,0,0,0,40,30,35,95,0,0,0,0,0,0,0,0,99,55,45,55,20,90,0,0,0,0,95,20,0,35,10,0,90,12,9,9,14,30,0,35,30,0,0,0,20,15,5,57,0,28,72,34,40,40,None,None,None,None,None,None,None,None,None,None,None,None,None,Silver,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,Chris Paul,'20 NBA,Oklahoma City Thunder,83,NBA 2K20  Emerald,PG,,72,P&R Point,3 PT,Guard Post Up,Handoff,12,17,15,0,77,84,71,90,79,68,78,25,25,48,68,33,48,83,73,73,68,55,81,68,74,73,83,81,79,81,54,84,75,92,83,88,78,84,38,89,83,28,54,95,92,0,0,0,25,5,40,80,70,70,60,65,0,16,55,3,26,71,15,60,60,75,99,55,70,45,65,15,40,15,25,30,40,5,5,55,35,25,25,25,50,55,40,75,70,50,65,60,30,35,45,35,90,40,75,95,0,35,80,80,90,99,35,10,0,30,10,0,55,0,3,32,43,15,20,55,0,0,0,0,95,70,99,77,10,90,55,11,55,70,Bronze,None,Bronze,Bronze,Bronze,None,None,Bronze,None,Bronze,None,None,Bronze,None,None,None,Silver,Gold,Bronze,Silver,None,Silver,None,Silver,Silver,Bronze,Silver,Bronze,None,None,Silver,None,None,None,Silver,None,None,Gold,Gold,Bronze,Gold,None,None,Gold,Gold,Silver,Gold,Gold,Gold,None,Silver,Silver,Gold,Silver,Silver,None,None,None,Gold,Silver,Silver,Gold,None,Silver,None,Bronze,Gold,Gold,None,None,None,None,Silver,Gold,None,Yes,None,None,Yes,None,Yes,None,None
9,Gerald Green,'20 NBA,Houston Rockets,75,NBA 2K20  Silver,SF,SG,79,P&R Wing,3 PT,Isolation,Guard Post Up,2,1,0,0,81,67,75,90,80,66,76,51,86,61,47,40,54,75,68,74,90,40,81,62,84,67,72,56,25,46,45,60,60,62,69,49,64,34,52,64,41,32,50,95,77,0,70,99,50,5,35,30,0,0,0,10,19,19,15,2,77,21,5,60,55,99,75,60,45,40,25,0,25,20,25,15,5,5,5,50,0,5,5,15,45,40,40,75,15,0,0,0,0,0,15,0,80,50,65,70,20,25,5,5,15,25,99,5,0,0,0,0,10,0,7,54,20,5,0,0,0,0,0,0,25,30,10,49,10,0,67,23,70,35,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,None,None,Bronze,None,None,None,None,None,None,None,Silver,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes
10,Ersan Ilyasova,'20 NBA,Milwaukee Bucks,75,NBA 2K20  Silver,PF,C,82,3 PT,P&R Roll Man,Handoff,,5,1,0,0,49,72,74,90,78,66,67,51,51,61,68,46,68,65,38,51,41,58,76,84,75,25,54,51,26,60,65,47,70,79,38,66,74,36,49,74,51,61,62,95,76,55,55,0,25,35,15,65,0,0,0,10,0,46,25,8,70,22,10,60,50,55,90,50,36,35,25,55,0,5,10,15,5,5,5,50,0,0,0,0,50,30,20,50,0,0,0,0,0,0,15,0,99,40,60,70,20,65,0,0,5,15,99,15,5,50,15,0,75,5,14,44,27,20,0,0,15,5,0,0,20,5,30,44,99,52,60,20,85,55,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,None,None,Bronze,None,Bronze,None,Silver,None,None,None,Bronze,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
